observed_at_utc,prompt_tokens,privacy_guard_latency_ms,entity_count,phase,openshell_observed_ms,first_output_elapsed_ms,turn_elapsed_ms
2026-07-27T20:30:01.123Z,18291,5.500,3,baseline,,,
2026-07-27T20:30:16.777Z,18722,5.968,3,baseline,,,
2026-07-27T20:30:47.630Z,18923,6.032,4,baseline,,,
2026-07-27T20:33:01.353Z,19120,10.526,4,baseline,,,
2026-07-27T20:40:29.558Z,19378,12.501,6,baseline,,,
2026-07-27T20:52:52.194Z,19798,21.712,6,baseline,,,
2026-07-27T20:52:57.011Z,20335,7.766,6,baseline,,,
2026-07-27T20:53:09.407Z,21404,6.914,11,baseline,,,
2026-07-27T20:53:15.951Z,22377,8.772,11,baseline,,,
2026-07-27T20:53:59.529Z,22934,9.744,11,baseline,,,
2026-07-27T20:54:09.916Z,23528,7.848,15,baseline,,,
2026-07-27T20:54:50.861Z,23866,10.930,16,baseline,,,
2026-07-27T20:55:03.900Z,26472,10.931,22,baseline,,,
2026-07-27T20:57:46.380Z,26853,11.706,22,baseline,,,
2026-07-27T20:58:02.786Z,28021,12.020,22,baseline,,,
2026-07-27T20:58:13.857Z,28867,11.031,26,baseline,,,
2026-07-27T20:58:57.295Z,31351,12.766,26,baseline,,,
2026-07-27T21:00:20.727Z,33610,14.624,26,baseline,,,
2026-07-27T21:00:30.405Z,34193,14.459,26,baseline,,,
2026-07-27T22:10:44.672Z,20747,10.780,19,baseline,,,
2026-07-27T22:27:43.549Z,22310,18.206,20,baseline,,,
2026-07-27T22:39:51.865Z,23103,16.403,20,baseline,,,
2026-07-28T14:12:13.541Z,27015,28.333,22,baseline,,,
2026-07-28T14:15:00.603Z,31441,13.022,22,baseline,,,
2026-07-28T14:17:30.678Z,38362,12.441,23,baseline,,,
2026-07-28T14:18:12.741Z,39098,18.293,23,baseline,,,
2026-07-28T14:20:18.406Z,39471,16.974,23,baseline,,,
2026-07-28T14:21:57.261Z,40025,10.865,23,baseline,,,
2026-07-28T14:23:44.194Z,47124,14.840,23,baseline,,,
2026-07-28T14:24:40.109Z,47960,11.560,23,baseline,,,
